,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
128,1.4248275862068966,0.10344827586206896,80.0,86.4,1955.344827586207,1.4285780329387001,0.11278195488721804,0.007518796992481203,0.007518796992481203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1.0831250000000001,0.509375,84.1,87.4,1649.625,1.196922159645313,0.06944444444444445,0.013888888888888888,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1.1786567164179105,0.5626865671641792,82.0,86.1,1691.1492537313434,1.3060810955006044,0.07017543859649122,0.021929824561403508,0.008771929824561403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1.4270967741935485,0.7069354838709677,80.9,86.8,2061.935483870968,1.592596302039381,0.017241379310344827,0.022988505747126436,0.005747126436781609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0.6463636363636364,0.9454545454545454,80.3,84.4,1594.1363636363637,1.1452817329958094,0.056451612903225805,0.008064516129032258,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0.8398245614035088,1.5324561403508772,79.0,76.9,2017.5894736842106,1.747491664081893,0.05309734513274336,0.02654867256637168,0.008849557522123894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1.3845205479452054,0.00534246575342466,82.7,86.9,1935.9178082191781,1.3845308554246158,0.046052631578947366,0.03618421052631579,0.006578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1.0779166666666666,0.1725,86.6,87.1,1358.3333333333333,1.0916320764240017,0.02608695652173913,0.008695652173913044,0.017391304347826087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1.2827950310559006,0.6090062111801242,83.7,83.3,1897.055900621118,1.420018188953113,0.059548254620123205,0.01642710472279261,0.02053388090349076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1.1164814814814814,0.34685185185185186,79.8,85.5,1630.3703703703704,1.1691180888277037,0.05670103092783505,0.015463917525773196,0.005154639175257732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1.3106451612903227,0.5583870967741935,85.4,81.8,1731.4193548387098,1.4246357038406867,0.010416666666666666,0.020833333333333332,0.010416666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0.9553846153846154,0.5584615384615385,83.3,85.4,1654.5384615384614,1.1066341099272323,0.039473684210526314,0.013157894736842105,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
